Date,Price
17-02-2022,920.25
18-02-2022,906.40
21-02-2022,880.10
22-02-2022,863.25
23-02-2022,854.95
24-02-2022,813.35
25-02-2022,835.80
28-02-2022,892.20
02-03-2022,883.15
03-03-2022,863.65
04-03-2022,850.50
07-03-2022,832.80
08-03-2022,839.20
09-03-2022,871.90
10-03-2022,881.40
11-03-2022,864.55
14-03-2022,863.50
15-03-2022,869.90
16-03-2022,867.80
17-03-2022,900.55
21-03-2022,912.20
22-03-2022,913.70
23-03-2022,936.45
24-03-2022,920.80
25-03-2022,930.70
28-03-2022,923.20
29-03-2022,940.45
30-03-2022,960.45
31-03-2022,966.95
01-04-2022,998.45
04-04-2022,1009.60
05-04-2022,1088.05
06-04-2022,1053.40
07-04-2022,1021.25
08-04-2022,1043.05
11-04-2022,1050.10
12-04-2022,1066.90
13-04-2022,1050.00
18-04-2022,1062.55
19-04-2022,1045.20
20-04-2022,1045.70
21-04-2022,1117.70
22-04-2022,1073.05
25-04-2022,1054.90
26-04-2022,1094.10
27-04-2022,1085.65
28-04-2022,1100.15
29-04-2022,1091.55
02-05-2022,1070.15
04-05-2022,1031.55
05-05-2022,1035.50
06-05-2022,999.35
09-05-2022,988.45
10-05-2022,976.90
11-05-2022,954.10
12-05-2022,943.70
13-05-2022,977.50
16-05-2022,991.85
17-05-2022,983.90
18-05-2022,964.70
19-05-2022,946.15
20-05-2022,968.05
23-05-2022,967.25
24-05-2022,971.10
25-05-2022,951.40
26-05-2022,960.30
27-05-2022,969.65
30-05-2022,1030.90
31-05-2022,1006.40
01-06-2022,1063.55
02-06-2022,1083.05
03-06-2022,1090.15
06-06-2022,1077.25
07-06-2022,1061.15
08-06-2022,1038.55
09-06-2022,1030.70
10-06-2022,1025.15
13-06-2022,1005.75
14-06-2022,1003.15
15-06-2022,1000.90
16-06-2022,981.95
17-06-2022,970.80
20-06-2022,966.20
21-06-2022,968.65
22-06-2022,945.55
23-06-2022,1003.60
24-06-2022,984.25
27-06-2022,979.45
28-06-2022,973.25
29-06-2022,971.75
30-06-2022,965.90
01-07-2022,971.70
04-07-2022,992.65
05-07-2022,1003.50
06-07-2022,1015.10
07-07-2022,1031.35
08-07-2022,1034.10
11-07-2022,1090.70
12-07-2022,1094.40
13-07-2022,1097.45
14-07-2022,1097.25
15-07-2022,1104.55
18-07-2022,1111.40
19-07-2022,1102.95
20-07-2022,1092.70
21-07-2022,1088.40
22-07-2022,1077.70
25-07-2022,1077.30
26-07-2022,1068.30
27-07-2022,1075.75
28-07-2022,1077.90
29-07-2022,1077.30
01-08-2022,1138.10
02-08-2022,1242.55
03-08-2022,1213.35
04-08-2022,1251.25
05-08-2022,1211.90
08-08-2022,1296.80
10-08-2022,1193.40
11-08-2022,1207.65
12-08-2022,1192.20
16-08-2022,1233.15
17-08-2022,1199.50
18-08-2022,1200.40
19-08-2022,1183.80
22-08-2022,1199.80
23-08-2022,1246.30
24-08-2022,1262.10
25-08-2022,1274.30
26-08-2022,1271.70
29-08-2022,1269.45
30-08-2022,1287.45
01-09-2022,1282.35
02-09-2022,1300.20
05-09-2022,1305.80
06-09-2022,1330.55
07-09-2022,1381.30
08-09-2022,1391.35
09-09-2022,1401.90
12-09-2022,1425.00
13-09-2022,1432.55
14-09-2022,1444.45
15-09-2022,1427.40
16-09-2022,1363.60
19-09-2022,1362.30
20-09-2022,1424.10
21-09-2022,1417.80
22-09-2022,1408.75
23-09-2022,1402.35
26-09-2022,1352.05
27-09-2022,1346.10
28-09-2022,1365.15
29-09-2022,1409.05
30-09-2022,1408.80
03-10-2022,1427.90
04-10-2022,1449.60
06-10-2022,1465.40
07-10-2022,1469.10
10-10-2022,1443.10
11-10-2022,1454.55
12-10-2022,1419.45
13-10-2022,1414.45
14-10-2022,1395.00
17-10-2022,1402.40
18-10-2022,1419.50
19-10-2022,1425.30
20-10-2022,1417.50
21-10-2022,1408.65
24-10-2022,1442.55
25-10-2022,1452.65
27-10-2022,1428.20
28-10-2022,1430.55
31-10-2022,1449.05
01-11-2022,1442.15
02-11-2022,1429.40
03-11-2022,1437.95
04-11-2022,1432.10
07-11-2022,1406.60
09-11-2022,1402.45
10-11-2022,1372.45
11-11-2022,1368.50
14-11-2022,1342.00
15-11-2022,1345.20
16-11-2022,1352.30
17-11-2022,1352.55
18-11-2022,1317.45
21-11-2022,1342.95
22-11-2022,1320.95
23-11-2022,1348.55
24-11-2022,1368.15
25-11-2022,1389.95
28-11-2022,1350.85
29-11-2022,1346.35
30-11-2022,1368.20
01-12-2022,1390.05
02-12-2022,1400.35
05-12-2022,1364.30
06-12-2022,1332.70
07-12-2022,1339.75
08-12-2022,1337.20
09-12-2022,1360.00
12-12-2022,1354.85
13-12-2022,1353.55
14-12-2022,1382.25
15-12-2022,1355.10
16-12-2022,1317.20
19-12-2022,1345.25
20-12-2022,1340.70
21-12-2022,1313.95
22-12-2022,1296.80
23-12-2022,1285.25
26-12-2022,1301.60
27-12-2022,1296.50
28-12-2022,1308.85
29-12-2022,1320.95
30-12-2022,1338.10
02-01-2023,1360.60
03-01-2023,1333.40
04-01-2023,1298.90
05-01-2023,1293.05
06-01-2023,1299.40
09-01-2023,1311.45
10-01-2023,1315.35
11-01-2023,1314.90
12-01-2023,1316.45
13-01-2023,1293.20
16-01-2023,1297.85
17-01-2023,1293.20
18-01-2023,1277.85
19-01-2023,1264.25
20-01-2023,1220.55
23-01-2023,1202.05
24-01-2023,1165.50
25-01-2023,1139.65
27-01-2023,1158.85
30-01-2023,1116.75
31-01-2023,1191.60
01-02-2023,1219.95
02-02-2023,1257.55
03-02-2023,1232.95
06-02-2023,1201.95
07-02-2023,1186.85
08-02-2023,1178.80
09-02-2023,1219.50
10-02-2023,1258.50
13-02-2023,1274.00
14-02-2023,1234.75
15-02-2023,1234.95
16-02-2023,1226.15
17-02-2023,1242.30
20-02-2023,1212.45
21-02-2023,1168.90
22-02-2023,1154.45
23-02-2023,1162.80
24-02-2023,1162.90
27-02-2023,1198.45
28-02-2023,1203.70
01-03-2023,1185.90
02-03-2023,1203.50
03-03-2023,1187.25
06-03-2023,1190.90
08-03-2023,1185.45
09-03-2023,1172.45
10-03-2023,1167.40
13-03-2023,1161.05
14-03-2023,1141.35
15-03-2023,1139.05
16-03-2023,1141.20
17-03-2023,1168.65
20-03-2023,1134.15
21-03-2023,1140.15
22-03-2023,1125.90
23-03-2023,1123.65
24-03-2023,1110.40
27-03-2023,1100.60
28-03-2023,1097.80
29-03-2023,1104.35
31-03-2023,1139.15
03-04-2023,1139.20
05-04-2023,1132.25
06-04-2023,1139.60
10-04-2023,1140.10
11-04-2023,1153.15
12-04-2023,1214.20
13-04-2023,1238.55
17-04-2023,1263.80
18-04-2023,1270.95
19-04-2023,1278.70
20-04-2023,1267.25
21-04-2023,1280.20
24-04-2023,1290.20
25-04-2023,1306.65
26-04-2023,1251.50
27-04-2023,1256.20
28-04-2023,1272.15
02-05-2023,1249.85
03-05-2023,1243.20
04-05-2023,1229.35
05-05-2023,1225.90
08-05-2023,1225.30
09-05-2023,1240.50
